Water Depth [inch],Factor
0.0,0.0
0.3937,1
0.7874,1
11.811,10
15.748,10
19.685,10
23.622,10
27.559,10
31.496,10
35.433,10
3.937,10
43.307,10
47.244,10
51.181,10
55.118,10
59.055,10
62.992,10
66.929,10
70.866,10
74.803,10
7.874,10
82.677,10
86.614,10
90.551,10
94.488,10
98.425,10
102.362,10
106.299,10
110.236,10
114.173,10
11.811,10
122.047,10
125.984,10
129.921,10
133.858,10
137.795,10
141.732,10
145.669,10
149.606,10
153.543,10
15.748,10
161.417,10
165.354,10
169.291,10
173.228,10
177.165,10
181.102,10
185.039,10
188.976,10
192.913,10
19.685,10
200.787,10
204.724,10
208.661,10
212.598,10
216.535,10
220.472,10
224.409,10
228.346,10
232.283,10
23.622,10
240.157,10
244.094,10
248.031,10
251.969,10
255.906,10
259.843,10
26.378,10
267.717,10
271.654,10
275.591,10
279.528,10
283.465,10
287.402,10
291.339,10
295.276,10
299.213,10
30.315,10
307.087,10
311.024,10
314.961,10
318.898,10
322.835,10
326.772,10
330.709,10
334.646,10
338.583,10
34.252,10
346.457,10
350.394,10
354.331,10
358.268,10
362.205,10
366.142,10
370.079,10
374.016,10
377.953,10
38.189,10
385.827,10
389.764,10
393.701,10
397.638,10
401.575,10
405.512,10
409.449,10
413.386,10
417.323,10
42.126,10
425.197,10
429.134,10
433.071,10
437.008,10
440.945,10
444.882,10
448.819,10
452.756,10
456.693,10
46.063,10
464.567,10
468.504,10
472.441,10
476.378,10
480.315,10
484.252,10
488.189,10
492.126,10
496.063,10
50,1
503.937,10
507.874,10
511.811,10
515.748,10
519.685,10
523.622,10
527.559,10
531.496,10
535.433,10
53.937,10
543.307,10
547.244,10
551.181,10
555.118,10
559.055,10
562.992,10
566.929,10
570.866,10
574.803,10
57.874,10
582.677,10
586.614,10
590.551,10
594.488,10
598.425,10
602.362,10
606.299,10
610.236,10
614.173,10
61.811,10
622.047,10
625.984,10
629.921,10
633.858,10
637.795,10
641.732,10
645.669,10
649.606,10
653.543,10
65.748,10
661.417,10
665.354,10
669.291,10
673.228,10
677.165,10
681.102,10
685.039,10
688.976,10
692.913,10
69.685,10
700.787,10
704.724,10
708.661,10
712.598,10
716.535,10
720.472,10
724.409,10
728.346,10
732.283,10
73.622,10
740.157,10
744.094,10
748.031,10
751.969,10
755.906,10
759.843,10
76.378,10
767.717,10
771.654,10
775.591,10
779.528,10
783.465,10
787.402,10
791.339,10
795.276,10
799.213,10
80.315,10
807.087,10
811.024,10
814.961,10
818.898,10
822.835,10
826.772,10
830.709,10
834.646,10
838.583,10
84.252,10
846.457,10
850.394,10
854.331,10
858.268,10
862.205,10
866.142,10
870.079,10
874.016,10
877.953,10
88.189,10
885.827,10
889.764,10
893.701,10
897.638,10
901.575,10
905.512,10
909.449,10
913.386,10
917.323,10
92.126,10
925.197,10
929.134,10
933.071,10
937.008,10
940.945,10
944.882,10
948.819,10
952.756,10
956.693,10
96.063,10
964.567,10
968.504,10
972.441,10
976.378,10
980.315,10
984.252,10
988.189,10
992.126,10
996.063,10
100,1
1.003.937,10
1.007.874,10
1.011.811,10
1.015.748,10
1.019.685,10
1.023.622,10
1.027.559,10
1.031.496,10
1.035.433,10
103.937,10
1.043.307,10
1.047.244,10
1.051.181,10
1.055.118,10
1.059.055,10
1.062.992,10
1.066.929,10
1.070.866,10
1.074.803,10
107.874,10
1.082.677,10
1.086.614,10
1.090.551,10
1.094.488,10
1.098.425,10
1.102.362,10
1.106.299,10
1.110.236,10
1.114.173,10
111.811,10
1.122.047,10
1.125.984,10
1.129.921,10
1.133.858,10
1.137.795,10
1.141.732,10
1.145.669,10
1.149.606,10
1.153.543,10
115.748,10
1.161.417,10
1.165.354,10
1.169.291,10
1.173.228,10
1.177.165,10
1.181.102,10
1.185.039,10
1.188.976,10
1.192.913,10
119.685,10
1.200.787,10
1.204.724,10
1.208.661,10
1.212.598,10
1.216.535,10
1.220.472,10
1.224.409,10
1.228.346,10
1.232.283,10
123.622,10
1.240.157,10
1.244.094,10
1.248.031,10
1.251.969,10
1.255.906,10
1.259.843,10
126.378,10
1.267.717,10
1.271.654,10
1.275.591,10
1.279.528,10
1.283.465,10
1.287.402,10
1.291.339,10
1.295.276,10
1.299.213,10
130.315,10
1.307.087,10
1.311.024,10
1.314.961,10
1.318.898,10
1.322.835,10
1.326.772,10
1.330.709,10
1.334.646,10
1.338.583,10
134.252,10
1.346.457,10
1.350.394,10
1.354.331,10
1.358.268,10
1.362.205,10
1.366.142,10
1.370.079,10
1.374.016,10
1.377.953,10
138.189,10
1.385.827,10
1.389.764,10
1.393.701,10
1.397.638,10
1.401.575,10
1.405.512,10
1.409.449,10
1.413.386,10
1.417.323,10
142.126,10
1.425.197,10
1.429.134,10
1.433.071,10
1.437.008,10
1.440.945,10
1.444.882,10
1.448.819,10
1.452.756,10
1.456.693,10
146.063,10
1.464.567,10
1.468.504,10
1.472.441,10
1.476.378,10
1.480.315,10
1.484.252,10
1.488.189,10
1.492.126,10
1.496.063,10
150,1
1.503.937,10
1.507.874,10
1.511.811,10
1.515.748,10
1.519.685,10
1.523.622,10
1.527.559,10
1.531.496,10
1.535.433,10
153.937,10
1.543.307,10
1.547.244,10
1.551.181,10
1.555.118,10
1.559.055,10
1.562.992,10
1.566.929,10
1.570.866,10
1.574.803,10
157.874,10
1.582.677,10
1.586.614,10
1.590.551,10
1.594.488,10
1.598.425,10
1.602.362,10
1.606.299,10
1.610.236,10
1.614.173,10
161.811,10
1.622.047,10
1.625.984,10
1.629.921,10
1.633.858,10
1.637.795,10
1.641.732,10
1.645.669,10
1.649.606,10
1.653.543,10
165.748,10
1.661.417,10
1.665.354,10
1.669.291,10
1.673.228,10
1.677.165,10
1.681.102,10
1.685.039,10
1.688.976,10
1.692.913,10
169.685,10
1.700.787,10
1.704.724,10
1.708.661,10
1.712.598,10
1.716.535,10
1.720.472,10
1.724.409,10
1.728.346,10
1.732.283,10
173.622,10
1.740.157,10
1.744.094,10
1.748.031,10
1.751.969,10
1.755.906,10
1.759.843,10
176.378,10
1.767.717,10
1.771.654,10
1.775.591,10
1.779.528,10
1.783.465,10
1.787.402,10
1.791.339,10
1.795.276,10
1.799.213,10
180.315,10
1.807.087,10
1.811.024,10
1.814.961,10
1.818.898,10
1.822.835,10
1.826.772,10
1.830.709,10
1.834.646,10
1.838.583,10
184.252,10
1.846.457,10
1.850.394,10
1.854.331,10
1.858.268,10
1.862.205,10
1.866.142,10
1.870.079,10
1.874.016,10
1.877.953,10
188.189,10
1.885.827,10
1.889.764,10
1.893.701,10
1.897.638,10
1.901.575,10
1.905.512,10
1.909.449,10
1.913.386,10
1.917.323,10
192.126,10
1.925.197,10
1.929.134,10
1.933.071,10
1.937.008,10
1.940.945,10
1.944.882,10
1.948.819,10
1.952.756,10
1.956.693,10
196.063,10
1.964.567,10
1.968.504,10
1.972.441,10
1.976.378,10
1.980.315,10
1.984.252,10
1.988.189,10
1.992.126,10
1.996.063,10
200,1
2.003.937,10
2.007.874,10
2.011.811,10
2.015.748,10
2.019.685,10
2.023.622,10
2.027.559,10
2.031.496,10
2.035.433,10
203.937,10
2.043.307,10
2.047.244,10
2.051.181,10
2.055.118,10
2.059.055,10
2.062.992,10
2.066.929,10
2.070.866,10
2.074.803,10
207.874,10
2.082.677,10
2.086.614,10
2.090.551,10
2.094.488,10
2.098.425,10
2.102.362,10
2.106.299,10
2.110.236,10
2.114.173,10
211.811,10
2.122.047,10
2.125.984,10
2.129.921,10
2.133.858,10
2.137.795,10
2.141.732,10
2.145.669,10
2.149.606,10
2.153.543,10
215.748,10
2.161.417,10
2.165.354,10
2.169.291,10
2.173.228,10
2.177.165,10
2.181.102,10
2.185.039,10
2.188.976,10
2.192.913,10
219.685,10
2.200.787,10
2.204.724,10
2.208.661,10
2.212.598,10
2.216.535,10
2.220.472,10
2.224.409,10
2.228.346,10
2.232.283,10
223.622,10
2.240.157,10
2.244.094,10
2.248.031,10
2.251.969,10
2.255.906,10
2.259.843,10
226.378,10
2.267.717,10
2.271.654,10
2.275.591,10
2.279.528,10
2.283.465,10
2.287.402,10
2.291.339,10
2.295.276,10
2.299.213,10
230.315,10
2.307.087,10
2.311.024,10
2.314.961,10
2.318.898,10
2.322.835,10
2.326.772,10
2.330.709,10
2.334.646,10
2.338.583,10
234.252,10
2.346.457,10
2.350.394,10
2.354.331,10
2.358.268,10
2.362.205,10
2.366.142,10
2.370.079,10
2.374.016,10
2.377.953,10
238.189,10
2.385.827,10
2.389.764,10
2.393.701,10
2.397.638,10
2.401.575,10
2.405.512,10
2.409.449,10
2.413.386,10
2.417.323,10
242.126,10
2.425.197,10
2.429.134,10
2.433.071,10
2.437.008,10
2.440.945,10
2.444.882,10
2.448.819,10
2.452.756,10
2.456.693,10
246.063,10
2.464.567,10
2.468.504,10
2.472.441,10
2.476.378,10
2.480.315,10
2.484.252,10
2.488.189,10
2.492.126,10
2.496.063,10
250,1
2.503.937,10
2.507.874,10
2.511.811,10
2.515.748,10
2.519.685,10
2.523.622,10
2.527.559,10
2.531.496,10
2.535.433,10
253.937,10
2.543.307,10
2.547.244,10
2.551.181,10
2.555.118,10
2.559.055,10
2.562.992,10
2.566.929,10
2.570.866,10
2.574.803,10
257.874,10
2.582.677,10
2.586.614,10
2.590.551,10
2.594.488,10
2.598.425,10
2.602.362,10
2.606.299,10
2.610.236,10
2.614.173,10
261.811,10
2.622.047,10
2.625.984,10
2.629.921,10
2.633.858,10
2.637.795,10
2.641.732,10
2.645.669,10
2.649.606,10
2.653.543,10
265.748,10
2.661.417,10
2.665.354,10
2.669.291,10
2.673.228,10
2.677.165,10
2.681.102,10
2.685.039,10
2.688.976,10
2.692.913,10
269.685,10
2.700.787,10
2.704.724,10
2.708.661,10
2.712.598,10
2.716.535,10
2.720.472,10
2.724.409,10
2.728.346,10
2.732.283,10
273.622,10
2.740.157,10
2.744.094,10
2.748.031,10
2.751.969,10
2.755.906,10
2.759.843,10
276.378,10
2.767.717,10
2.771.654,10
2.775.591,10
2.779.528,10
2.783.465,10
2.787.402,10
2.791.339,10
2.795.276,10
2.799.213,10
280.315,10
2.807.087,10
2.811.024,10
2.814.961,10
2.818.898,10
2.822.835,10
2.826.772,10
2.830.709,10
2.834.646,10
2.838.583,10
284.252,10
2.846.457,10
2.850.394,10
2.854.331,10
2.858.268,10
2.862.205,10
2.866.142,10
2.870.079,10
2.874.016,10
2.877.953,10
288.189,10
2.885.827,10
2.889.764,10
2.893.701,10
2.897.638,10
2.901.575,10
2.905.512,10
2.909.449,10
2.913.386,10
2.917.323,10
292.126,10
2.925.197,10
2.929.134,10
2.933.071,10
2.937.008,10
2.940.945,10
2.944.882,10
2.948.819,10
2.952.756,10
2.956.693,10
296.063,10
2.964.567,10
2.968.504,10
2.972.441,10
2.976.378,10
2.980.315,10
2.984.252,10
2.988.189,10
2.992.126,10
2.996.063,10
300,1
3.003.937,10
3.007.874,10
3.011.811,10
3.015.748,10
3.019.685,10
3.023.622,10
3.027.559,10
3.031.496,10
3.035.433,10
303.937,10
3.043.307,10
3.047.244,10
3.051.181,10
3.055.118,10
3.059.055,10
3.062.992,10
3.066.929,10
3.070.866,10
3.074.803,10
307.874,10
3.082.677,10
3.086.614,10
3.090.551,10
3.094.488,10
3.098.425,10
3.102.362,10
3.106.299,10
3.110.236,10
3.114.173,10
311.811,10
3.122.047,10
3.125.984,10
3.129.921,10
3.133.858,10
3.137.795,10
3.141.732,10
3.145.669,10
3.149.606,10
3.153.543,10
315.748,10
3.161.417,10
3.165.354,10
3.169.291,10
3.173.228,10
3.177.165,10
3.181.102,10
3.185.039,10
3.188.976,10
3.192.913,10
319.685,10
3.200.787,10
3.204.724,10
3.208.661,10
3.212.598,10
3.216.535,10
3.220.472,10
3.224.409,10
3.228.346,10
3.232.283,10
323.622,10
3.240.157,10
3.244.094,10
3.248.031,10
3.251.969,10
3.255.906,10
3.259.843,10
326.378,10
3.267.717,10
3.271.654,10
3.275.591,10
3.279.528,10
3.283.465,10
3.287.402,10
3.291.339,10
3.295.276,10
3.299.213,10
330.315,10
3.307.087,10
3.311.024,10
3.314.961,10
3.318.898,10
3.322.835,10
3.326.772,10
3.330.709,10
3.334.646,10
3.338.583,10
334.252,10
3.346.457,10
3.350.394,10
3.354.331,10
3.358.268,10
3.362.205,10
3.366.142,10
3.370.079,10
3.374.016,10
3.377.953,10
338.189,10
3.385.827,10
3.389.764,10
3.393.701,10
3.397.638,10
3.401.575,10
3.405.512,10
3.409.449,10
3.413.386,10
3.417.323,10
342.126,10
3.425.197,10
3.429.134,10
3.433.071,10
3.437.008,10
3.440.945,10
3.444.882,10
3.448.819,10
3.452.756,10
3.456.693,10
346.063,10
3.464.567,10
3.468.504,10
3.472.441,10
3.476.378,10
3.480.315,10
3.484.252,10
3.488.189,10
3.492.126,10
3.496.063,10
350,1
3.503.937,10
3.507.874,10
3.511.811,10
3.515.748,10
3.519.685,10
3.523.622,10
3.527.559,10
3.531.496,10
3.535.433,10
353.937,10
3.543.307,10
3.547.244,10
3.551.181,10
3.555.118,10
3.559.055,10
3.562.992,10
3.566.929,10
3.570.866,10
3.574.803,10
357.874,10
3.582.677,10
3.586.614,10
3.590.551,10
3.594.488,10
3.598.425,10
3.602.362,10
3.606.299,10
3.610.236,10
3.614.173,10
361.811,10
3.622.047,10
3.625.984,10
3.629.921,10
3.633.858,10
3.637.795,10
3.641.732,10
3.645.669,10
3.649.606,10
3.653.543,10
365.748,10
3.661.417,10
3.665.354,10
3.669.291,10
3.673.228,10
3.677.165,10
3.681.102,10
3.685.039,10
3.688.976,10
3.692.913,10
369.685,10
3.700.787,10
3.704.724,10
3.708.661,10
3.712.598,10
3.716.535,10
3.720.472,10
3.724.409,10
3.728.346,10
3.732.283,10
373.622,10
3.740.157,10
3.744.094,10
3.748.031,10
3.751.969,10
3.755.906,10
3.759.843,10
376.378,10
3.767.717,10
3.771.654,10
3.775.591,10
3.779.528,10
3.783.465,10
3.787.402,10
3.791.339,10
3.795.276,10
3.799.213,10
380.315,10
3.807.087,10
3.811.024,10
3.814.961,10
3.818.898,10
3.822.835,10
3.826.772,10
3.830.709,10
3.834.646,10
3.838.583,10
384.252,10
3.846.457,10
3.850.394,10
3.854.331,10
3.858.268,10
3.862.205,10
3.866.142,10
3.870.079,10
3.874.016,10
3.877.953,10
388.189,10
3.885.827,10
3.889.764,10
3.893.701,10
3.897.638,10
3.901.575,10
3.905.512,10
3.909.449,10
3.913.386,10
3.917.323,10
392.126,10
3.925.197,10
3.929.134,10
3.933.071,10
3.937.008,10
